0.12,1,0.99,0.34,0.31,0.25,0,2G.
1,0,0.29,0,0.03,0.01,0,2G.
0.35,0,1,0.36,0.47,0.47,0.03,3G.
0,0,0.98,0.18,0.19,0.18,0.01,3G.
0.55,0,0.84,0.1,0.05,0.06,0,2G.
0,0,1,0.14,0.08,0.09,0,2G.
0.35,1,0.98,0.21,0.12,0.11,0,3G.
0.07,0,0.53,0.11,0.02,0.01,0.25,2G.
0,0,0.4,0.05,0.01,0.01,0.07,3G.
0.07,1,0.71,0.19,0.08,0.09,0.1,3G.
0,0,0.98,0.22,0.14,0.19,0,3G.
0.12,0,0.79,0.04,0.04,0.04,0.02,2G.
0,0,0.96,0.17,0.44,0.1,0,3G.
0.03,0,0.76,0.05,0.09,0.04,0.08,2G.
0.22,1,0.95,0.19,0.15,0.09,0.01,3G.
0.62,0,1,0.28,0.22,0.21,1,3G.
0.18,1,1,0.27,0.21,0.22,0,2G.
